file,label
MLAAD/fake/pl/griffin_lim/lalka_1_10_f000109.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_2_23_f000018.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_3_08_f000062.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_08_f000122.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_53_f000038.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_2_20_f000288.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_1_20_f000150.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_04_f000124.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_3_05_f000130.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_3_10_f000064.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_2_21_f000124.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_28_f000135.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_2_13_f000110.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_2_14_f000125.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_21_f000040.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_1_02_f000081.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_11_f000045.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_1_22_f000133.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_30_f000340.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_1_09_f000186.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_56_f000138.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_19_f000148.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_43_f000078.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_3_11_f000175.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_3_05_f000188.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_25_f000030.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_2_23_f000152.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_24_f000086.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_42_f000104.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_2_28_f000102.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_3_07_f000017.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_2_21_f000037.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_2_20_f000137.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_2_13_f000186.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_29_f000047.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_1_19_f000175.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_3_16_f000162.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_3_22_f000054.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_2_28_f000134.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_3_14_f000113.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_1_07_f000057.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_2_22_f000050.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_2_14_f000214.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_63_f000069.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_30_f000006.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_04_f000147.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_13_f000042.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_3_10_f000183.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_16_f000106.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_3_05_f000102.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_14_f000141.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_33_f000049.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_2_16_f000133.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_2_23_f000250.wav,spoof
MLAAD/fake/pl/griffin_lim/saragossie_28_f000149.wav,spoof
MLAAD/fake/pl/griffin_lim/lalka_3_22_f000004.wav,spoof
